redshift,N_halos,mean_mass_LCDM,mean_mass_DMTDE,suppression_percent,sigma_stat_percent,sigma_mass_LCDM,sigma_mass_DMTDE
3.000000e-01,9.260000e+07,4.530000e+12,4.420000e+12,4.900000e+00,1.200000e-01,4.707526e+08,4.593215e+08
3.500000e-01,9.260000e+07,4.420000e+12,4.310000e+12,4.900000e+00,1.200000e-01,4.593215e+08,4.478904e+08
4.000000e-01,9.250000e+07,4.310000e+12,4.200000e+12,4.900000e+00,1.200000e-01,4.481325e+08,4.366952e+08
4.500000e-01,9.240000e+07,4.200000e+12,4.090000e+12,4.900000e+00,1.300000e-01,4.369314e+08,4.254880e+08
5.000000e-01,9.210000e+07,4.090000e+12,3.990000e+12,4.900000e+00,1.300000e-01,4.261804e+08,4.157604e+08
5.750000e-01,9.150000e+07,3.940000e+12,3.840000e+12,4.900000e+00,1.300000e-01,4.118942e+08,4.014400e+08
6.500000e-01,9.080000e+07,3.800000e+12,3.710000e+12,4.900000e+00,1.300000e-01,3.987867e+08,3.893418e+08
7.250000e-01,8.990000e+07,3.670000e+12,3.580000e+12,4.900000e+00,1.400000e-01,3.870671e+08,3.775750e+08
8.000000e-01,8.890000e+07,3.540000e+12,3.450000e+12,4.900000e+00,1.400000e-01,3.754502e+08,3.659049e+08
8.750000e-01,8.760000e+07,3.420000e+12,3.340000e+12,4.900000e+00,1.400000e-01,3.654046e+08,3.568572e+08
9.500000e-01,8.630000e+07,3.310000e+12,3.220000e+12,4.900000e+00,1.400000e-01,3.563056e+08,3.466175e+08
1.025000e+00,8.480000e+07,3.200000e+12,3.120000e+12,4.900000e+00,1.500000e-01,3.474978e+08,3.388103e+08
1.100000e+00,8.310000e+07,3.100000e+12,3.020000e+12,4.900000e+00,1.500000e-01,3.400644e+08,3.312886e+08
1.175000e+00,8.140000e+07,3.000000e+12,2.930000e+12,4.900000e+00,1.500000e-01,3.325133e+08,3.247547e+08
1.250000e+00,7.960000e+07,2.910000e+12,2.840000e+12,4.900000e+00,1.600000e-01,3.261643e+08,3.183184e+08
1.325000e+00,7.760000e+07,2.830000e+12,2.750000e+12,4.900000e+00,1.600000e-01,3.212592e+08,3.121777e+08
1.400000e+00,7.550000e+07,2.740000e+12,2.670000e+12,4.900000e+00,1.600000e-01,3.153386e+08,3.072825e+08
1.475000e+00,7.340000e+07,2.670000e+12,2.600000e+12,4.900000e+00,1.700000e-01,3.116472e+08,3.034767e+08
1.550000e+00,7.130000e+07,2.590000e+12,2.530000e+12,4.900000e+00,1.700000e-01,3.067291e+08,2.996234e+08
1.625000e+00,6.900000e+07,2.520000e+12,2.460000e+12,4.900000e+00,1.700000e-01,3.033723e+08,2.961492e+08
1.700000e+00,6.680000e+07,2.460000e+12,2.400000e+12,4.900000e+00,1.800000e-01,3.009864e+08,2.936453e+08
1.850000e+00,6.210000e+07,2.330000e+12,2.280000e+12,4.900000e+00,1.800000e-01,2.956719e+08,2.893271e+08
2.000000e+00,5.740000e+07,2.220000e+12,2.170000e+12,4.900000e+00,1.900000e-01,2.930198e+08,2.864203e+08
2.250000e+00,4.960000e+07,2.060000e+12,2.010000e+12,4.900000e+00,2.000000e-01,2.925003e+08,2.854008e+08
2.500000e+00,4.210000e+07,1.930000e+12,1.880000e+12,4.900000e+00,2.200000e-01,2.974516e+08,2.897456e+08
2.750000e+00,3.500000e+07,1.810000e+12,1.760000e+12,4.900000e+00,2.400000e-01,3.059458e+08,2.974943e+08
3.000000e+00,2.870000e+07,1.710000e+12,1.660000e+12,4.900000e+00,2.700000e-01,3.191943e+08,3.098612e+08
